Target Country,Target City,Theater of Operations,Total Weight (Tons),First Mission,Last Mission,Num Missions,location
GREAT BRITAIN,REMSCHEID,ETO,0.0,11/27/1941,11/27/1941,1,"REMSCHEID, GREAT BRITAIN"
GREAT BRITAIN,SAARBRUCKEN,ETO,45.0,9/17/1941,9/19/1942,2,"SAARBRUCKEN, GREAT BRITAIN"
GREAT BRITAIN,SOLINGEN,ETO,24.0,12/1/1943,12/1/1943,1,"SOLINGEN, GREAT BRITAIN"
GREAT BRITAIN,UNIDENTIFIED,ETO,0.0,12/24/1944,12/24/1944,1,"UNIDENTIFIED, GREAT BRITAIN"
GREAT BRITAIN,WESEL,ETO,2.0,3/26/1944,3/26/1944,1,"WESEL, GREAT BRITAIN"
GREECE,"""BUSI, GILAVE & TEPELENE""",MTO,0.0,3/9/1941,3/9/1941,1,"""BUSI, GILAVE & TEPELENE"", GREECE"
GREECE,"""CALATZ, SCARPANTO""",MTO,0.0,3/12/1941,3/12/1941,1,"""CALATZ, SCARPANTO"", GREECE"
GREECE,"""DUPRITSA, GORNADJUMAYA, YIAMNITSA""",MTO,0.0,4/13/1941,4/13/1941,1,"""DUPRITSA, GORNADJUMAYA, YIAMNITSA"", GREECE"
GREECE,"""GUN POSISITONS, TEPELENE-LUZATI""",MTO,0.0,3/6/1941,3/6/1941,1,"""GUN POSISITONS, TEPELENE-LUZATI"", GREECE"
GREECE,"""MARITZA, KATTAVIA""",MTO,0.0,3/12/1941,3/12/1941,1,"""MARITZA, KATTAVIA"", GREECE"
GREECE,"""PIAMBINO PORT, INSTALLATIONS AND SHIPPING""",MTO,49.0,4/1/1944,4/16/1944,2,"""PIAMBINO PORT, INSTALLATIONS AND SHIPPING"", GREECE"
GREECE,"""SALARIA, NW TEPELENE""",MTO,0.0,2/11/1941,2/11/1941,1,"""SALARIA, NW TEPELENE"", GREECE"
GREECE,ABBAZIA,MTO,3.0,2/15/1945,2/15/1945,1,"ABBAZIA, GREECE"
GREECE,ARAXOS,MTO,215.0,10/10/1943,11/3/1943,5,"ARAXOS, GREECE"
GREECE,ARGOS,MTO,381.0,10/14/1943,5/16/1941,11,"ARGOS, GREECE"
