Country,City,Total Tons,First Mission,Last Mission,Num Missions,location
FRANCE,ILLIERS,807.0,6/12/1944,7/4/1944,21,"ILLIERS, France"
FRANCE,ISIGNY,66.0,6/8/1944,6/8/1944,6,"ISIGNY, France"
FRANCE,ISTRES,1173.0,1/21/1944,8/16/1944,19,"ISTRES, France"
FRANCE,JAFFE,560.0,4/15/1945,4/15/1945,16,"JAFFE, France"
FRANCE,JARD RIVER,72.0,8/6/1944,8/6/1944,4,"JARD RIVER, France"
FRANCE,JOIGNY,1324.0,6/25/1944,8/8/1944,23,"JOIGNY, France"
FRANCE,JUKSEY,280.0,7/17/1944,8/8/1944,9,"JUKSEY, France"
FRANCE,JUNAINCOURT,46.0,3/3/1944,3/3/1944,2,"JUNAINCOURT, France"
FRANCE,JUVINCOURT,1647.0,5/9/1944,7/23/1944,42,"JUVINCOURT, France"
FRANCE,JUVISY SUR ORGE,527.0,5/27/1944,8/3/1944,9,"JUVISY SUR ORGE, France"
FRANCE,JUZENNECOURT,1233.0,6/16/1944,8/12/1944,30,"JUZENNECOURT, France"
FRANCE,KEMBS,72.0,10/7/1944,10/7/1944,1,"KEMBS, France"
FRANCE,KERDREIN,144.0,8/25/1944,8/25/1944,3,"KERDREIN, France"
FRANCE,KERLIN,1248.0,6/7/1944,9/23/1943,42,"KERLIN, France"
FRANCE,L ISLE ADAM,954.0,7/5/1944,8/9/1944,27,"L ISLE ADAM, France"
FRANCE,LA BARBERIE,114.0,7/4/1944,7/4/1944,2,"LA BARBERIE, France"
FRANCE,LA BARRE,0.0,7/10/1944,7/10/1944,1,"LA BARRE, France"
FRANCE,LA BASSEE,7.0,9/26/1941,9/26/1941,1,"LA BASSEE, France"
FRANCE,LA BELLE,76.0,8/13/1944,8/13/1944,1,"LA BELLE, France"
FRANCE,LA BELLE HOTESSE,198.0,6/20/1944,6/20/1944,6,"LA BELLE HOTESSE, France"
FRANCE,LA BRETEQUE,169.0,8/1/1944,8/9/1944,5,"LA BRETEQUE, France"
FRANCE,LA CHAPELLE EN JAGE,1876.0,7/25/1944,8/3/1944,24,"LA CHAPELLE EN JAGE, France"
FRANCE,LA CHENAIE,140.0,8/3/1944,8/3/1944,2,"LA CHENAIE, France"
FRANCE,LA CROISILLE,218.0,7/23/1944,7/31/1944,8,"LA CROISILLE, France"
FRANCE,LA FAVERIE,132.0,6/10/1944,6/10/1944,4,"LA FAVERIE, France"
FRANCE,LA FERRIERE AU DOYE,128.0,8/17/1944,8/17/1944,4,"LA FERRIERE AU DOYE, France"
FRANCE,LA FERRIERE BACHET,21.0,7/6/1944,7/6/1944,3,"LA FERRIERE BACHET, France"
FRANCE,LA FERTE BERNARD,87.0,7/8/1944,7/8/1944,3,"LA FERTE BERNARD, France"
FRANCE,LA FERTE MACE,70.0,8/12/1944,8/12/1944,2,"LA FERTE MACE, France"
FRANCE,LA FOSSE CORDUAN,315.0,6/5/1944,6/5/1944,6,"LA FOSSE CORDUAN, France"
FRANCE,LA FRILLIERE,274.0,6/15/1944,6/8/1944,4,"LA FRILLIERE, France"
FRANCE,LA GLACERIE,795.0,1/1/1944,4/4/1944,25,"LA GLACERIE, France"
FRANCE,LA GLORAIRE,159.0,3/26/1944,3/26/1944,3,"LA GLORAIRE, France"
FRANCE,LA GOUESNIERE,68.0,7/28/1944,7/28/1944,4,"LA GOUESNIERE, France"
FRANCE,LA GRANDE VALLEE,480.0,7/17/1944,8/8/1944,15,"LA GRANDE VALLEE, France"
FRANCE,LA GRAVERIE,64.0,6/8/1944,6/8/1944,4,"LA GRAVERIE, France"
